STATISTIC,Month,Taxation.Class,value
Vehicles Licensed for the First Time,2000 April,Secondhand Other Vehicles,185
Vehicles Licensed for the First Time,2000 April,Secondhand Motor Cycles,223
Vehicles Licensed for the First Time,2000 May,All Vehicles,36683
Vehicles Licensed for the First Time,2000 May,New Vehicles,33026
Vehicles Licensed for the First Time,2000 May,New Private Cars,27832
Vehicles Licensed for the First Time,2000 May,New Goods Vehicles,3586
Vehicles Licensed for the First Time,2000 May,New Tractors,284
Vehicles Licensed for the First Time,2000 May,New Motor Cycles,688
Vehicles Licensed for the First Time,2000 May,New Exempt Vehicles,304
Vehicles Licensed for the First Time,2000 May,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",332
Vehicles Licensed for the First Time,2000 May,Secondhand Vehicles,3657
Vehicles Licensed for the First Time,2000 May,Secondhand Private Cars,2124
Vehicles Licensed for the First Time,2000 May,Secondhand Goods Vehicles,677
Vehicles Licensed for the First Time,2000 May,Secondhand Tractors,275
Vehicles Licensed for the First Time,2000 May,Secondhand Other Vehicles,292
Vehicles Licensed for the First Time,2000 May,Secondhand Motor Cycles,289
Vehicles Licensed for the First Time,2000 June,All Vehicles,32341
Vehicles Licensed for the First Time,2000 June,New Vehicles,28668
Vehicles Licensed for the First Time,2000 June,New Private Cars,23874
Vehicles Licensed for the First Time,2000 June,New Goods Vehicles,3270
Vehicles Licensed for the First Time,2000 June,New Tractors,314
Vehicles Licensed for the First Time,2000 June,New Motor Cycles,707
Vehicles Licensed for the First Time,2000 June,New Exempt Vehicles,266
Vehicles Licensed for the First Time,2000 June,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",237
Vehicles Licensed for the First Time,2000 June,Secondhand Vehicles,3673
Vehicles Licensed for the First Time,2000 June,Secondhand Private Cars,2197
Vehicles Licensed for the First Time,2000 June,Secondhand Goods Vehicles,605
Vehicles Licensed for the First Time,2000 June,Secondhand Tractors,309
Vehicles Licensed for the First Time,2000 June,Secondhand Other Vehicles,236
Vehicles Licensed for the First Time,2000 June,Secondhand Motor Cycles,326
Vehicles Licensed for the First Time,2000 July,All Vehicles,27575
Vehicles Licensed for the First Time,2000 July,New Vehicles,24295
Vehicles Licensed for the First Time,2000 July,New Private Cars,19728
Vehicles Licensed for the First Time,2000 July,New Goods Vehicles,3100
Vehicles Licensed for the First Time,2000 July,New Tractors,266
Vehicles Licensed for the First Time,2000 July,New Motor Cycles,657
Vehicles Licensed for the First Time,2000 July,New Exempt Vehicles,335
Vehicles Licensed for the First Time,2000 July,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",209
Vehicles Licensed for the First Time,2000 July,Secondhand Vehicles,3280
Vehicles Licensed for the First Time,2000 July,Secondhand Private Cars,1973
Vehicles Licensed for the First Time,2000 July,Secondhand Goods Vehicles,538
Vehicles Licensed for the First Time,2000 July,Secondhand Tractors,259
Vehicles Licensed for the First Time,2000 July,Secondhand Other Vehicles,184
Vehicles Licensed for the First Time,2000 July,Secondhand Motor Cycles,326
Vehicles Licensed for the First Time,2000 August,All Vehicles,23569
Vehicles Licensed for the First Time,2000 August,New Vehicles,20232
Vehicles Licensed for the First Time,2000 August,New Private Cars,15847
Vehicles Licensed for the First Time,2000 August,New Goods Vehicles,2859
Vehicles Licensed for the First Time,2000 August,New Tractors,222
Vehicles Licensed for the First Time,2000 August,New Motor Cycles,683
Vehicles Licensed for the First Time,2000 August,New Exempt Vehicles,303
Vehicles Licensed for the First Time,2000 August,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",318
Vehicles Licensed for the First Time,2000 August,Secondhand Vehicles,3337
Vehicles Licensed for the First Time,2000 August,Secondhand Private Cars,1967
Vehicles Licensed for the First Time,2000 August,Secondhand Goods Vehicles,528
Vehicles Licensed for the First Time,2000 August,Secondhand Tractors,249
Vehicles Licensed for the First Time,2000 August,Secondhand Other Vehicles,244
Vehicles Licensed for the First Time,2000 August,Secondhand Motor Cycles,349
Vehicles Licensed for the First Time,2000 September,All Vehicles,18409
Vehicles Licensed for the First Time,2000 September,New Vehicles,15359
Vehicles Licensed for the First Time,2000 September,New Private Cars,11477
Vehicles Licensed for the First Time,2000 September,New Goods Vehicles,2545
Vehicles Licensed for the First Time,2000 September,New Tractors,145
Vehicles Licensed for the First Time,2000 September,New Motor Cycles,634
Vehicles Licensed for the First Time,2000 September,New Exempt Vehicles,313
Vehicles Licensed for the First Time,2000 September,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",245
Vehicles Licensed for the First Time,2000 September,Secondhand Vehicles,3050
Vehicles Licensed for the First Time,2000 September,Secondhand Private Cars,1779
Vehicles Licensed for the First Time,2000 September,Secondhand Goods Vehicles,592
Vehicles Licensed for the First Time,2000 September,Secondhand Tractors,190
Vehicles Licensed for the First Time,2000 September,Secondhand Other Vehicles,227
Vehicles Licensed for the First Time,2000 September,Secondhand Motor Cycles,262
Vehicles Licensed for the First Time,2000 October,All Vehicles,15490
Vehicles Licensed for the First Time,2000 October,New Vehicles,12599
Vehicles Licensed for the First Time,2000 October,New Private Cars,9301
Vehicles Licensed for the First Time,2000 October,New Goods Vehicles,2007
Vehicles Licensed for the First Time,2000 October,New Tractors,178
Vehicles Licensed for the First Time,2000 October,New Motor Cycles,624
Vehicles Licensed for the First Time,2000 October,New Exempt Vehicles,293
Vehicles Licensed for the First Time,2000 October,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",196
Vehicles Licensed for the First Time,2000 October,Secondhand Vehicles,2891
Vehicles Licensed for the First Time,2000 October,Secondhand Private Cars,1739
Vehicles Licensed for the First Time,2000 October,Secondhand Goods Vehicles,541
Vehicles Licensed for the First Time,2000 October,Secondhand Tractors,175
Vehicles Licensed for the First Time,2000 October,Secondhand Other Vehicles,196
Vehicles Licensed for the First Time,2000 October,Secondhand Motor Cycles,240
Vehicles Licensed for the First Time,2000 November,All Vehicles,13035
Vehicles Licensed for the First Time,2000 November,New Vehicles,10120
Vehicles Licensed for the First Time,2000 November,New Private Cars,6933
Vehicles Licensed for the First Time,2000 November,New Goods Vehicles,2003
Vehicles Licensed for the First Time,2000 November,New Tractors,161
Vehicles Licensed for the First Time,2000 November,New Motor Cycles,538
Vehicles Licensed for the First Time,2000 November,New Exempt Vehicles,227
Vehicles Licensed for the First Time,2000 November,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",258
Vehicles Licensed for the First Time,2000 November,Secondhand Vehicles,2915
Vehicles Licensed for the First Time,2000 November,Secondhand Private Cars,1782
Vehicles Licensed for the First Time,2000 November,Secondhand Goods Vehicles,573
Vehicles Licensed for the First Time,2000 November,Secondhand Tractors,164
Vehicles Licensed for the First Time,2000 November,Secondhand Other Vehicles,215
Vehicles Licensed for the First Time,2000 November,Secondhand Motor Cycles,181
Vehicles Licensed for the First Time,2000 December,All Vehicles,7976
Vehicles Licensed for the First Time,2000 December,New Vehicles,5638
Vehicles Licensed for the First Time,2000 December,New Private Cars,3486
Vehicles Licensed for the First Time,2000 December,New Goods Vehicles,1306
Vehicles Licensed for the First Time,2000 December,New Tractors,143
Vehicles Licensed for the First Time,2000 December,New Motor Cycles,334
Vehicles Licensed for the First Time,2000 December,New Exempt Vehicles,140
Vehicles Licensed for the First Time,2000 December,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",229
Vehicles Licensed for the First Time,2000 December,Secondhand Vehicles,2338
Vehicles Licensed for the First Time,2000 December,Secondhand Private Cars,1464
Vehicles Licensed for the First Time,2000 December,Secondhand Goods Vehicles,419
Vehicles Licensed for the First Time,2000 December,Secondhand Tractors,145
Vehicles Licensed for the First Time,2000 December,Secondhand Other Vehicles,142
Vehicles Licensed for the First Time,2000 December,Secondhand Motor Cycles,168
Vehicles Licensed for the First Time,2001 January,All Vehicles,22965
Vehicles Licensed for the First Time,2001 January,New Vehicles,20622
Vehicles Licensed for the First Time,2001 January,New Private Cars,16528
Vehicles Licensed for the First Time,2001 January,New Goods Vehicles,2770
Vehicles Licensed for the First Time,2001 January,New Tractors,249
Vehicles Licensed for the First Time,2001 January,New Motor Cycles,557
Vehicles Licensed for the First Time,2001 January,New Exempt Vehicles,303
Vehicles Licensed for the First Time,2001 January,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",215
Vehicles Licensed for the First Time,2001 January,Secondhand Vehicles,2343
Vehicles Licensed for the First Time,2001 January,Secondhand Private Cars,1358
Vehicles Licensed for the First Time,2001 January,Secondhand Goods Vehicles,440
Vehicles Licensed for the First Time,2001 January,Secondhand Tractors,193
Vehicles Licensed for the First Time,2001 January,Secondhand Other Vehicles,175
Vehicles Licensed for the First Time,2001 January,Secondhand Motor Cycles,177
Vehicles Licensed for the First Time,2001 February,All Vehicles,30030
Vehicles Licensed for the First Time,2001 February,New Vehicles,27396
Vehicles Licensed for the First Time,2001 February,New Private Cars,22258
Vehicles Licensed for the First Time,2001 February,New Goods Vehicles,3695
Vehicles Licensed for the First Time,2001 February,New Tractors,223
Vehicles Licensed for the First Time,2001 February,New Motor Cycles,580
Vehicles Licensed for the First Time,2001 February,New Exempt Vehicles,385
Vehicles Licensed for the First Time,2001 February,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",255
Vehicles Licensed for the First Time,2001 February,Secondhand Vehicles,2634
Vehicles Licensed for the First Time,2001 February,Secondhand Private Cars,1528
Vehicles Licensed for the First Time,2001 February,Secondhand Goods Vehicles,529
Vehicles Licensed for the First Time,2001 February,Secondhand Tractors,197
Vehicles Licensed for the First Time,2001 February,Secondhand Other Vehicles,210
Vehicles Licensed for the First Time,2001 February,Secondhand Motor Cycles,170
Vehicles Licensed for the First Time,2001 March,All Vehicles,30366
Vehicles Licensed for the First Time,2001 March,New Vehicles,27505
Vehicles Licensed for the First Time,2001 March,New Private Cars,22146
Vehicles Licensed for the First Time,2001 March,New Goods Vehicles,3689
Vehicles Licensed for the First Time,2001 March,New Tractors,276
Vehicles Licensed for the First Time,2001 March,New Motor Cycles,650
Vehicles Licensed for the First Time,2001 March,New Exempt Vehicles,364
Vehicles Licensed for the First Time,2001 March,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",380
Vehicles Licensed for the First Time,2001 March,Secondhand Vehicles,2861
Vehicles Licensed for the First Time,2001 March,Secondhand Private Cars,1529
Vehicles Licensed for the First Time,2001 March,Secondhand Goods Vehicles,591
Vehicles Licensed for the First Time,2001 March,Secondhand Tractors,205
Vehicles Licensed for the First Time,2001 March,Secondhand Other Vehicles,252
Vehicles Licensed for the First Time,2001 March,Secondhand Motor Cycles,284
Vehicles Licensed for the First Time,2001 April,All Vehicles,25995
Vehicles Licensed for the First Time,2001 April,New Vehicles,23400
Vehicles Licensed for the First Time,2001 April,New Private Cars,19027
Vehicles Licensed for the First Time,2001 April,New Goods Vehicles,3028
Vehicles Licensed for the First Time,2001 April,New Tractors,222
Vehicles Licensed for the First Time,2001 April,New Motor Cycles,603
Vehicles Licensed for the First Time,2001 April,New Exempt Vehicles,272
Vehicles Licensed for the First Time,2001 April,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",248
Vehicles Licensed for the First Time,2001 April,Secondhand Vehicles,2595
Vehicles Licensed for the First Time,2001 April,Secondhand Private Cars,1351
Vehicles Licensed for the First Time,2001 April,Secondhand Goods Vehicles,506
Vehicles Licensed for the First Time,2001 April,Secondhand Tractors,202
Vehicles Licensed for the First Time,2001 April,Secondhand Other Vehicles,242
Vehicles Licensed for the First Time,2001 April,Secondhand Motor Cycles,294
Vehicles Licensed for the First Time,2001 May,All Vehicles,27066
Vehicles Licensed for the First Time,2001 May,New Vehicles,24200
Vehicles Licensed for the First Time,2001 May,New Private Cars,19436
Vehicles Licensed for the First Time,2001 May,New Goods Vehicles,3087
Vehicles Licensed for the First Time,2001 May,New Tractors,291
Vehicles Licensed for the First Time,2001 May,New Motor Cycles,683
Vehicles Licensed for the First Time,2001 May,New Exempt Vehicles,388
Vehicles Licensed for the First Time,2001 May,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",315
Vehicles Licensed for the First Time,2001 May,Secondhand Vehicles,2866
Vehicles Licensed for the First Time,2001 May,Secondhand Private Cars,1442
Vehicles Licensed for the First Time,2001 May,Secondhand Goods Vehicles,587
Vehicles Licensed for the First Time,2001 May,Secondhand Tractors,218
Vehicles Licensed for the First Time,2001 May,Secondhand Other Vehicles,260
Vehicles Licensed for the First Time,2001 May,Secondhand Motor Cycles,359
Vehicles Licensed for the First Time,2001 June,All Vehicles,22344
Vehicles Licensed for the First Time,2001 June,New Vehicles,19751
Vehicles Licensed for the First Time,2001 June,New Private Cars,15688
Vehicles Licensed for the First Time,2001 June,New Goods Vehicles,2606
Vehicles Licensed for the First Time,2001 June,New Tractors,253
Vehicles Licensed for the First Time,2001 June,New Motor Cycles,645
Vehicles Licensed for the First Time,2001 June,New Exempt Vehicles,346
Vehicles Licensed for the First Time,2001 June,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",213
Vehicles Licensed for the First Time,2001 June,Secondhand Vehicles,2593
Vehicles Licensed for the First Time,2001 June,Secondhand Private Cars,1288
Vehicles Licensed for the First Time,2001 June,Secondhand Goods Vehicles,473
Vehicles Licensed for the First Time,2001 June,Secondhand Tractors,229
Vehicles Licensed for the First Time,2001 June,Secondhand Other Vehicles,224
Vehicles Licensed for the First Time,2001 June,Secondhand Motor Cycles,379
Vehicles Licensed for the First Time,2001 July,All Vehicles,21470
Vehicles Licensed for the First Time,2001 July,New Vehicles,18802
Vehicles Licensed for the First Time,2001 July,New Private Cars,14558
Vehicles Licensed for the First Time,2001 July,New Goods Vehicles,2773
Vehicles Licensed for the First Time,2001 July,New Tractors,280
Vehicles Licensed for the First Time,2001 July,New Motor Cycles,652
Vehicles Licensed for the First Time,2001 July,New Exempt Vehicles,345
Vehicles Licensed for the First Time,2001 July,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",194
Vehicles Licensed for the First Time,2001 July,Secondhand Vehicles,2668
Vehicles Licensed for the First Time,2001 July,Secondhand Private Cars,1341
Vehicles Licensed for the First Time,2001 July,Secondhand Goods Vehicles,521
Vehicles Licensed for the First Time,2001 July,Secondhand Tractors,249
Vehicles Licensed for the First Time,2001 July,Secondhand Other Vehicles,225
Vehicles Licensed for the First Time,2001 July,Secondhand Motor Cycles,332
Vehicles Licensed for the First Time,2001 August,All Vehicles,16927
Vehicles Licensed for the First Time,2001 August,New Vehicles,14400
Vehicles Licensed for the First Time,2001 August,New Private Cars,10609
Vehicles Licensed for the First Time,2001 August,New Goods Vehicles,2287
Vehicles Licensed for the First Time,2001 August,New Tractors,226
Vehicles Licensed for the First Time,2001 August,New Motor Cycles,653
Vehicles Licensed for the First Time,2001 August,New Exempt Vehicles,406
Vehicles Licensed for the First Time,2001 August,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",219
Vehicles Licensed for the First Time,2001 August,Secondhand Vehicles,2527
Vehicles Licensed for the First Time,2001 August,Secondhand Private Cars,1294
Vehicles Licensed for the First Time,2001 August,Secondhand Goods Vehicles,479
Vehicles Licensed for the First Time,2001 August,Secondhand Tractors,222
Vehicles Licensed for the First Time,2001 August,Secondhand Other Vehicles,194
Vehicles Licensed for the First Time,2001 August,Secondhand Motor Cycles,338
Vehicles Licensed for the First Time,2001 September,All Vehicles,11933
Vehicles Licensed for the First Time,2001 September,New Vehicles,9865
Vehicles Licensed for the First Time,2001 September,New Private Cars,6799
Vehicles Licensed for the First Time,2001 September,New Goods Vehicles,1860
Vehicles Licensed for the First Time,2001 September,New Tractors,199
Vehicles Licensed for the First Time,2001 September,New Motor Cycles,548
Vehicles Licensed for the First Time,2001 September,New Exempt Vehicles,278
Vehicles Licensed for the First Time,2001 September,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",181
Vehicles Licensed for the First Time,2001 September,Secondhand Vehicles,2068
Vehicles Licensed for the First Time,2001 September,Secondhand Private Cars,1038
Vehicles Licensed for the First Time,2001 September,Secondhand Goods Vehicles,425
Vehicles Licensed for the First Time,2001 September,Secondhand Tractors,165
Vehicles Licensed for the First Time,2001 September,Secondhand Other Vehicles,180
Vehicles Licensed for the First Time,2001 September,Secondhand Motor Cycles,260
Vehicles Licensed for the First Time,2001 October,All Vehicles,12252
Vehicles Licensed for the First Time,2001 October,New Vehicles,9834
Vehicles Licensed for the First Time,2001 October,New Private Cars,6563
Vehicles Licensed for the First Time,2001 October,New Goods Vehicles,2084
Vehicles Licensed for the First Time,2001 October,New Tractors,203
Vehicles Licensed for the First Time,2001 October,New Motor Cycles,536
Vehicles Licensed for the First Time,2001 October,New Exempt Vehicles,278
Vehicles Licensed for the First Time,2001 October,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",170
Vehicles Licensed for the First Time,2001 October,Secondhand Vehicles,2418
Vehicles Licensed for the First Time,2001 October,Secondhand Private Cars,1285
Vehicles Licensed for the First Time,2001 October,Secondhand Goods Vehicles,481
Vehicles Licensed for the First Time,2001 October,Secondhand Tractors,206
Vehicles Licensed for the First Time,2001 October,Secondhand Other Vehicles,189
Vehicles Licensed for the First Time,2001 October,Secondhand Motor Cycles,257
Vehicles Licensed for the First Time,2001 November,All Vehicles,9634
Vehicles Licensed for the First Time,2001 November,New Vehicles,7602
Vehicles Licensed for the First Time,2001 November,New Private Cars,4816
Vehicles Licensed for the First Time,2001 November,New Goods Vehicles,1752
Vehicles Licensed for the First Time,2001 November,New Tractors,149
Vehicles Licensed for the First Time,2001 November,New Motor Cycles,519
Vehicles Licensed for the First Time,2001 November,New Exempt Vehicles,237
Vehicles Licensed for the First Time,2001 November,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",129
Vehicles Licensed for the First Time,2001 November,Secondhand Vehicles,2032
Vehicles Licensed for the First Time,2001 November,Secondhand Private Cars,860
Vehicles Licensed for the First Time,2001 November,Secondhand Goods Vehicles,503
Vehicles Licensed for the First Time,2001 November,Secondhand Tractors,203
Vehicles Licensed for the First Time,2001 November,Secondhand Other Vehicles,208
Vehicles Licensed for the First Time,2001 November,Secondhand Motor Cycles,258
Vehicles Licensed for the First Time,2001 December,All Vehicles,5877
Vehicles Licensed for the First Time,2001 December,New Vehicles,4064
Vehicles Licensed for the First Time,2001 December,New Private Cars,2480
Vehicles Licensed for the First Time,2001 December,New Goods Vehicles,991
Vehicles Licensed for the First Time,2001 December,New Tractors,110
Vehicles Licensed for the First Time,2001 December,New Motor Cycles,293
Vehicles Licensed for the First Time,2001 December,New Exempt Vehicles,107
Vehicles Licensed for the First Time,2001 December,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",83
Vehicles Licensed for the First Time,2001 December,Secondhand Vehicles,1813
Vehicles Licensed for the First Time,2001 December,Secondhand Private Cars,923
Vehicles Licensed for the First Time,2001 December,Secondhand Goods Vehicles,423
Vehicles Licensed for the First Time,2001 December,Secondhand Tractors,158
Vehicles Licensed for the First Time,2001 December,Secondhand Other Vehicles,161
Vehicles Licensed for the First Time,2001 December,Secondhand Motor Cycles,148
Vehicles Licensed for the First Time,2002 January,All Vehicles,20437
Vehicles Licensed for the First Time,2002 January,New Vehicles,18219
Vehicles Licensed for the First Time,2002 January,New Private Cars,14724
Vehicles Licensed for the First Time,2002 January,New Goods Vehicles,2222
Vehicles Licensed for the First Time,2002 January,New Tractors,263
Vehicles Licensed for the First Time,2002 January,New Motor Cycles,437
Vehicles Licensed for the First Time,2002 January,New Exempt Vehicles,351
Vehicles Licensed for the First Time,2002 January,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",222
Vehicles Licensed for the First Time,2002 January,Secondhand Vehicles,2218
Vehicles Licensed for the First Time,2002 January,Secondhand Private Cars,1192
Vehicles Licensed for the First Time,2002 January,Secondhand Goods Vehicles,408
Vehicles Licensed for the First Time,2002 January,Secondhand Tractors,189
Vehicles Licensed for the First Time,2002 January,Secondhand Other Vehicles,216
Vehicles Licensed for the First Time,2002 January,Secondhand Motor Cycles,213
Vehicles Licensed for the First Time,2002 February,All Vehicles,25949
Vehicles Licensed for the First Time,2002 February,New Vehicles,23836
Vehicles Licensed for the First Time,2002 February,New Private Cars,19424
Vehicles Licensed for the First Time,2002 February,New Goods Vehicles,2993
Vehicles Licensed for the First Time,2002 February,New Tractors,292
Vehicles Licensed for the First Time,2002 February,New Motor Cycles,499
Vehicles Licensed for the First Time,2002 February,New Exempt Vehicles,371
Vehicles Licensed for the First Time,2002 February,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",257
Vehicles Licensed for the First Time,2002 February,Secondhand Vehicles,2113
Vehicles Licensed for the First Time,2002 February,Secondhand Private Cars,1083
Vehicles Licensed for the First Time,2002 February,Secondhand Goods Vehicles,448
Vehicles Licensed for the First Time,2002 February,Secondhand Tractors,201
Vehicles Licensed for the First Time,2002 February,Secondhand Other Vehicles,184
Vehicles Licensed for the First Time,2002 February,Secondhand Motor Cycles,197
Vehicles Licensed for the First Time,2002 March,All Vehicles,27878
Vehicles Licensed for the First Time,2002 March,New Vehicles,25755
Vehicles Licensed for the First Time,2002 March,New Private Cars,21391
Vehicles Licensed for the First Time,2002 March,New Goods Vehicles,3044
Vehicles Licensed for the First Time,2002 March,New Tractors,250
Vehicles Licensed for the First Time,2002 March,New Motor Cycles,487
Vehicles Licensed for the First Time,2002 March,New Exempt Vehicles,349
Vehicles Licensed for the First Time,2002 March,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",234
Vehicles Licensed for the First Time,2002 March,Secondhand Vehicles,2123
Vehicles Licensed for the First Time,2002 March,Secondhand Private Cars,1051
Vehicles Licensed for the First Time,2002 March,Secondhand Goods Vehicles,378
Vehicles Licensed for the First Time,2002 March,Secondhand Tractors,181
Vehicles Licensed for the First Time,2002 March,Secondhand Other Vehicles,222
Vehicles Licensed for the First Time,2002 March,Secondhand Motor Cycles,291
Vehicles Licensed for the First Time,2002 April,All Vehicles,24250
Vehicles Licensed for the First Time,2002 April,New Vehicles,21879
Vehicles Licensed for the First Time,2002 April,New Private Cars,17215
Vehicles Licensed for the First Time,2002 April,New Goods Vehicles,3173
Vehicles Licensed for the First Time,2002 April,New Tractors,282
Vehicles Licensed for the First Time,2002 April,New Motor Cycles,574
Vehicles Licensed for the First Time,2002 April,New Exempt Vehicles,408
Vehicles Licensed for the First Time,2002 April,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",227
Vehicles Licensed for the First Time,2002 April,Secondhand Vehicles,2371
Vehicles Licensed for the First Time,2002 April,Secondhand Private Cars,1112
Vehicles Licensed for the First Time,2002 April,Secondhand Goods Vehicles,464
Vehicles Licensed for the First Time,2002 April,Secondhand Tractors,198
Vehicles Licensed for the First Time,2002 April,Secondhand Other Vehicles,245
Vehicles Licensed for the First Time,2002 April,Secondhand Motor Cycles,352
Vehicles Licensed for the First Time,2002 May,All Vehicles,25956
Vehicles Licensed for the First Time,2002 May,New Vehicles,23336
Vehicles Licensed for the First Time,2002 May,New Private Cars,18775
Vehicles Licensed for the First Time,2002 May,New Goods Vehicles,2947
Vehicles Licensed for the First Time,2002 May,New Tractors,358
Vehicles Licensed for the First Time,2002 May,New Motor Cycles,569
Vehicles Licensed for the First Time,2002 May,New Exempt Vehicles,448
Vehicles Licensed for the First Time,2002 May,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",239
Vehicles Licensed for the First Time,2002 May,Secondhand Vehicles,2620
Vehicles Licensed for the First Time,2002 May,Secondhand Private Cars,1200
Vehicles Licensed for the First Time,2002 May,Secondhand Goods Vehicles,465
Vehicles Licensed for the First Time,2002 May,Secondhand Tractors,266
Vehicles Licensed for the First Time,2002 May,Secondhand Other Vehicles,283
Vehicles Licensed for the First Time,2002 May,Secondhand Motor Cycles,406
Vehicles Licensed for the First Time,2002 June,All Vehicles,18516
Vehicles Licensed for the First Time,2002 June,New Vehicles,16443
Vehicles Licensed for the First Time,2002 June,New Private Cars,13017
Vehicles Licensed for the First Time,2002 June,New Goods Vehicles,2197
Vehicles Licensed for the First Time,2002 June,New Tractors,274
Vehicles Licensed for the First Time,2002 June,New Motor Cycles,450
Vehicles Licensed for the First Time,2002 June,New Exempt Vehicles,334
Vehicles Licensed for the First Time,2002 June,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",171
Vehicles Licensed for the First Time,2002 June,Secondhand Vehicles,2073
Vehicles Licensed for the First Time,2002 June,Secondhand Private Cars,978
Vehicles Licensed for the First Time,2002 June,Secondhand Goods Vehicles,368
Vehicles Licensed for the First Time,2002 June,Secondhand Tractors,218
Vehicles Licensed for the First Time,2002 June,Secondhand Other Vehicles,220
Vehicles Licensed for the First Time,2002 June,Secondhand Motor Cycles,289
Vehicles Licensed for the First Time,2002 July,All Vehicles,20914
Vehicles Licensed for the First Time,2002 July,New Vehicles,18378
Vehicles Licensed for the First Time,2002 July,New Private Cars,14385
Vehicles Licensed for the First Time,2002 July,New Goods Vehicles,2552
Vehicles Licensed for the First Time,2002 July,New Tractors,279
Vehicles Licensed for the First Time,2002 July,New Motor Cycles,543
Vehicles Licensed for the First Time,2002 July,New Exempt Vehicles,430
Vehicles Licensed for the First Time,2002 July,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",189
Vehicles Licensed for the First Time,2002 July,Secondhand Vehicles,2536
Vehicles Licensed for the First Time,2002 July,Secondhand Private Cars,1207
Vehicles Licensed for the First Time,2002 July,Secondhand Goods Vehicles,461
Vehicles Licensed for the First Time,2002 July,Secondhand Tractors,263
Vehicles Licensed for the First Time,2002 July,Secondhand Other Vehicles,252
Vehicles Licensed for the First Time,2002 July,Secondhand Motor Cycles,353
Vehicles Licensed for the First Time,2002 August,All Vehicles,15479
Vehicles Licensed for the First Time,2002 August,New Vehicles,13409
Vehicles Licensed for the First Time,2002 August,New Private Cars,10044
Vehicles Licensed for the First Time,2002 August,New Goods Vehicles,2168
Vehicles Licensed for the First Time,2002 August,New Tractors,213
Vehicles Licensed for the First Time,2002 August,New Motor Cycles,445
Vehicles Licensed for the First Time,2002 August,New Exempt Vehicles,372
Vehicles Licensed for the First Time,2002 August,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",167
Vehicles Licensed for the First Time,2002 August,Secondhand Vehicles,2070
Vehicles Licensed for the First Time,2002 August,Secondhand Private Cars,1011
Vehicles Licensed for the First Time,2002 August,Secondhand Goods Vehicles,352
Vehicles Licensed for the First Time,2002 August,Secondhand Tractors,197
Vehicles Licensed for the First Time,2002 August,Secondhand Other Vehicles,215
Vehicles Licensed for the First Time,2002 August,Secondhand Motor Cycles,295
Vehicles Licensed for the First Time,2002 September,All Vehicles,12956
Vehicles Licensed for the First Time,2002 September,New Vehicles,10803
Vehicles Licensed for the First Time,2002 September,New Private Cars,7649
Vehicles Licensed for the First Time,2002 September,New Goods Vehicles,2018
Vehicles Licensed for the First Time,2002 September,New Tractors,152
Vehicles Licensed for the First Time,2002 September,New Motor Cycles,463
Vehicles Licensed for the First Time,2002 September,New Exempt Vehicles,354
Vehicles Licensed for the First Time,2002 September,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",167
Vehicles Licensed for the First Time,2002 September,Secondhand Vehicles,2153
Vehicles Licensed for the First Time,2002 September,Secondhand Private Cars,1055
Vehicles Licensed for the First Time,2002 September,Secondhand Goods Vehicles,410
Vehicles Licensed for the First Time,2002 September,Secondhand Tractors,153
Vehicles Licensed for the First Time,2002 September,Secondhand Other Vehicles,223
Vehicles Licensed for the First Time,2002 September,Secondhand Motor Cycles,312
Vehicles Licensed for the First Time,2002 October,All Vehicles,11913
Vehicles Licensed for the First Time,2002 October,New Vehicles,9675
Vehicles Licensed for the First Time,2002 October,New Private Cars,6598
