STATISTIC,Month,Taxation.Class,value
Vehicles Licensed for the First Time,1996 December,Secondhand Tractors,217
Vehicles Licensed for the First Time,1996 December,Secondhand Other Vehicles,229
Vehicles Licensed for the First Time,1996 December,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1997 January,All Vehicles,21856
Vehicles Licensed for the First Time,1997 January,New Vehicles,17521
Vehicles Licensed for the First Time,1997 January,New Private Cars,14691
Vehicles Licensed for the First Time,1997 January,New Goods Vehicles,1979
Vehicles Licensed for the First Time,1997 January,New Tractors,262
Vehicles Licensed for the First Time,1997 January,New Motor Cycles,202
Vehicles Licensed for the First Time,1997 January,New Exempt Vehicles,192
Vehicles Licensed for the First Time,1997 January,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",195
Vehicles Licensed for the First Time,1997 January,Secondhand Vehicles,4335
Vehicles Licensed for the First Time,1997 January,Secondhand Private Cars,3373
Vehicles Licensed for the First Time,1997 January,Secondhand Goods Vehicles,420
Vehicles Licensed for the First Time,1997 January,Secondhand Tractors,258
Vehicles Licensed for the First Time,1997 January,Secondhand Other Vehicles,284
Vehicles Licensed for the First Time,1997 January,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1997 February,All Vehicles,20289
Vehicles Licensed for the First Time,1997 February,New Vehicles,15775
Vehicles Licensed for the First Time,1997 February,New Private Cars,12982
Vehicles Licensed for the First Time,1997 February,New Goods Vehicles,2038
Vehicles Licensed for the First Time,1997 February,New Tractors,168
Vehicles Licensed for the First Time,1997 February,New Motor Cycles,210
Vehicles Licensed for the First Time,1997 February,New Exempt Vehicles,168
Vehicles Licensed for the First Time,1997 February,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",209
Vehicles Licensed for the First Time,1997 February,Secondhand Vehicles,4514
Vehicles Licensed for the First Time,1997 February,Secondhand Private Cars,3504
Vehicles Licensed for the First Time,1997 February,Secondhand Goods Vehicles,428
Vehicles Licensed for the First Time,1997 February,Secondhand Tractors,237
Vehicles Licensed for the First Time,1997 February,Secondhand Other Vehicles,345
Vehicles Licensed for the First Time,1997 February,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1997 March,All Vehicles,20497
Vehicles Licensed for the First Time,1997 March,New Vehicles,15961
Vehicles Licensed for the First Time,1997 March,New Private Cars,13548
Vehicles Licensed for the First Time,1997 March,New Goods Vehicles,1716
Vehicles Licensed for the First Time,1997 March,New Tractors,174
Vehicles Licensed for the First Time,1997 March,New Motor Cycles,238
Vehicles Licensed for the First Time,1997 March,New Exempt Vehicles,159
Vehicles Licensed for the First Time,1997 March,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",126
Vehicles Licensed for the First Time,1997 March,Secondhand Vehicles,4536
Vehicles Licensed for the First Time,1997 March,Secondhand Private Cars,3544
Vehicles Licensed for the First Time,1997 March,Secondhand Goods Vehicles,427
Vehicles Licensed for the First Time,1997 March,Secondhand Tractors,218
Vehicles Licensed for the First Time,1997 March,Secondhand Other Vehicles,347
Vehicles Licensed for the First Time,1997 March,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1997 April,All Vehicles,22137
Vehicles Licensed for the First Time,1997 April,New Vehicles,16953
Vehicles Licensed for the First Time,1997 April,New Private Cars,14131
Vehicles Licensed for the First Time,1997 April,New Goods Vehicles,1971
Vehicles Licensed for the First Time,1997 April,New Tractors,164
Vehicles Licensed for the First Time,1997 April,New Motor Cycles,282
Vehicles Licensed for the First Time,1997 April,New Exempt Vehicles,225
Vehicles Licensed for the First Time,1997 April,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",180
Vehicles Licensed for the First Time,1997 April,Secondhand Vehicles,5184
Vehicles Licensed for the First Time,1997 April,Secondhand Private Cars,3969
Vehicles Licensed for the First Time,1997 April,Secondhand Goods Vehicles,479
Vehicles Licensed for the First Time,1997 April,Secondhand Tractors,275
Vehicles Licensed for the First Time,1997 April,Secondhand Other Vehicles,461
Vehicles Licensed for the First Time,1997 April,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1997 May,All Vehicles,21954
Vehicles Licensed for the First Time,1997 May,New Vehicles,17024
Vehicles Licensed for the First Time,1997 May,New Private Cars,14159
Vehicles Licensed for the First Time,1997 May,New Goods Vehicles,1927
Vehicles Licensed for the First Time,1997 May,New Tractors,177
Vehicles Licensed for the First Time,1997 May,New Motor Cycles,264
Vehicles Licensed for the First Time,1997 May,New Exempt Vehicles,315
Vehicles Licensed for the First Time,1997 May,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",182
Vehicles Licensed for the First Time,1997 May,Secondhand Vehicles,4930
Vehicles Licensed for the First Time,1997 May,Secondhand Private Cars,3739
Vehicles Licensed for the First Time,1997 May,Secondhand Goods Vehicles,420
Vehicles Licensed for the First Time,1997 May,Secondhand Tractors,336
Vehicles Licensed for the First Time,1997 May,Secondhand Other Vehicles,435
Vehicles Licensed for the First Time,1997 May,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1997 June,All Vehicles,16757
Vehicles Licensed for the First Time,1997 June,New Vehicles,12637
Vehicles Licensed for the First Time,1997 June,New Private Cars,10414
Vehicles Licensed for the First Time,1997 June,New Goods Vehicles,1516
Vehicles Licensed for the First Time,1997 June,New Tractors,152
Vehicles Licensed for the First Time,1997 June,New Motor Cycles,219
Vehicles Licensed for the First Time,1997 June,New Exempt Vehicles,176
