Statistic,Quarter,Sector,value
Expenditure on GNP at Constant Market Prices,2000Q1,Final Domestic Demand,31997
Expenditure on GNP at Constant Market Prices,2000Q1,Total Domestic Demand,31967
Expenditure on GNP at Constant Market Prices,2000Q2,Personal Expenditure on Consumer Goods and Services,17444
Expenditure on GNP at Constant Market Prices,2000Q2,Household & NPISH Final Consumption Expenditure,16896
Expenditure on GNP at Constant Market Prices,2000Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,5842
Expenditure on GNP at Constant Market Prices,2000Q2,General Government Expenditure on Goods & Services provided to Households,4063
Expenditure on GNP at Constant Market Prices,2000Q2,General Government Collective Consumption Expenditure,2300
Expenditure on GNP at Constant Market Prices,2000Q2,General Government Final Consumption Expenditure,6364
Expenditure on GNP at Constant Market Prices,2000Q2,Gross Domestic Fixed Capital Formation,8775
Expenditure on GNP at Constant Market Prices,2000Q2,Gross domestic fixed capital formation - Dwellings,2024
Expenditure on GNP at Constant Market Prices,2000Q2,Gross domestic fixed capital formation - Improvements,855
Expenditure on GNP at Constant Market Prices,2000Q2,Gross domestic fixed capital formation - Other Building and Construction,2641
Expenditure on GNP at Constant Market Prices,2000Q2,Gross domestic fixed capital formation - Transfer Costs,514
Expenditure on GNP at Constant Market Prices,2000Q2,Gross domestic fixed capital formation - Machinery and Equipment,2018
Expenditure on GNP at Constant Market Prices,2000Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,140
Expenditure on GNP at Constant Market Prices,2000Q2,Gross domestic fixed capital formation - Intangible Assets,793
Expenditure on GNP at Constant Market Prices,2000Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Constant Market Prices,2000Q2,Value of Physical Changes in Stocks,508
Expenditure on GNP at Constant Market Prices,2000Q2,Exports of Goods and Services (excluding Factor Income Flows),28587
Expenditure on GNP at Constant Market Prices,2000Q2,Imports of Goods and Services (excluding Factor Income Flows),-26771
Expenditure on GNP at Constant Market Prices,2000Q2,Gross Domestic Product at Market Prices,37466
Expenditure on GNP at Constant Market Prices,2000Q2,Net Factor Income from the Rest of the World,-3309
Expenditure on GNP at Constant Market Prices,2000Q2,Gross National Product at Market Prices,35129
Expenditure on GNP at Constant Market Prices,2000Q2,Statistical Discrepancy,NA
Expenditure on GNP at Constant Market Prices,2000Q2,Export of Goods (excluding Factor Income Flows),16076
Expenditure on GNP at Constant Market Prices,2000Q2,Import of Goods (excluding Factor Income Flows),-12526
Expenditure on GNP at Constant Market Prices,2000Q2,Export of Services (excluding Factor Income Flows),10732
Expenditure on GNP at Constant Market Prices,2000Q2,Import of Services (excluding Factor Income Flows),-13402
Expenditure on GNP at Constant Market Prices,2000Q2,Final Domestic Demand,32313
Expenditure on GNP at Constant Market Prices,2000Q2,Total Domestic Demand,32641
Expenditure on GNP at Constant Market Prices,2000Q3,Personal Expenditure on Consumer Goods and Services,17393
Expenditure on GNP at Constant Market Prices,2000Q3,Household & NPISH Final Consumption Expenditure,16847
Expenditure on GNP at Constant Market Prices,2000Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,6044
Expenditure on GNP at Constant Market Prices,2000Q3,General Government Expenditure on Goods & Services provided to Households,4191
Expenditure on GNP at Constant Market Prices,2000Q3,General Government Collective Consumption Expenditure,2372
Expenditure on GNP at Constant Market Prices,2000Q3,General Government Final Consumption Expenditure,6564
Expenditure on GNP at Constant Market Prices,2000Q3,Gross Domestic Fixed Capital Formation,8488
Expenditure on GNP at Constant Market Prices,2000Q3,Gross domestic fixed capital formation - Dwellings,2159
Expenditure on GNP at Constant Market Prices,2000Q3,Gross domestic fixed capital formation - Improvements,759
Expenditure on GNP at Constant Market Prices,2000Q3,Gross domestic fixed capital formation - Other Building and Construction,2762
Expenditure on GNP at Constant Market Prices,2000Q3,Gross domestic fixed capital formation - Transfer Costs,570
Expenditure on GNP at Constant Market Prices,2000Q3,Gross domestic fixed capital formation - Machinery and Equipment,1706
Expenditure on GNP at Constant Market Prices,2000Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,144
Expenditure on GNP at Constant Market Prices,2000Q3,Gross domestic fixed capital formation - Intangible Assets,734
Expenditure on GNP at Constant Market Prices,2000Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Constant Market Prices,2000Q3,Value of Physical Changes in Stocks,42
Expenditure on GNP at Constant Market Prices,2000Q3,Exports of Goods and Services (excluding Factor Income Flows),29576
Expenditure on GNP at Constant Market Prices,2000Q3,Imports of Goods and Services (excluding Factor Income Flows),-25691
Expenditure on GNP at Constant Market Prices,2000Q3,Gross Domestic Product at Market Prices,38795
Expenditure on GNP at Constant Market Prices,2000Q3,Net Factor Income from the Rest of the World,-4406
Expenditure on GNP at Constant Market Prices,2000Q3,Gross National Product at Market Prices,34924
Expenditure on GNP at Constant Market Prices,2000Q3,Statistical Discrepancy,NA
Expenditure on GNP at Constant Market Prices,2000Q3,Export of Goods (excluding Factor Income Flows),16773
Expenditure on GNP at Constant Market Prices,2000Q3,Import of Goods (excluding Factor Income Flows),-11393
Expenditure on GNP at Constant Market Prices,2000Q3,Export of Services (excluding Factor Income Flows),10799
Expenditure on GNP at Constant Market Prices,2000Q3,Import of Services (excluding Factor Income Flows),-13791
Expenditure on GNP at Constant Market Prices,2000Q3,Final Domestic Demand,32139
Expenditure on GNP at Constant Market Prices,2000Q3,Total Domestic Demand,31939
Expenditure on GNP at Constant Market Prices,2000Q4,Personal Expenditure on Consumer Goods and Services,18913
Expenditure on GNP at Constant Market Prices,2000Q4,Household & NPISH Final Consumption Expenditure,18319
Expenditure on GNP at Constant Market Prices,2000Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,6878
Expenditure on GNP at Constant Market Prices,2000Q4,General Government Expenditure on Goods & Services provided to Households,4753
Expenditure on GNP at Constant Market Prices,2000Q4,General Government Collective Consumption Expenditure,2690
Expenditure on GNP at Constant Market Prices,2000Q4,General Government Final Consumption Expenditure,7444
Expenditure on GNP at Constant Market Prices,2000Q4,Gross Domestic Fixed Capital Formation,8145
Expenditure on GNP at Constant Market Prices,2000Q4,Gross domestic fixed capital formation - Dwellings,2033
Expenditure on GNP at Constant Market Prices,2000Q4,Gross domestic fixed capital formation - Improvements,877
Expenditure on GNP at Constant Market Prices,2000Q4,Gross domestic fixed capital formation - Other Building and Construction,2842
Expenditure on GNP at Constant Market Prices,2000Q4,Gross domestic fixed capital formation - Transfer Costs,444
Expenditure on GNP at Constant Market Prices,2000Q4,Gross domestic fixed capital formation - Machinery and Equipment,1444
Expenditure on GNP at Constant Market Prices,2000Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,-68
Expenditure on GNP at Constant Market Prices,2000Q4,Gross domestic fixed capital formation - Intangible Assets,864
Expenditure on GNP at Constant Market Prices,2000Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Constant Market Prices,2000Q4,Value of Physical Changes in Stocks,361
Expenditure on GNP at Constant Market Prices,2000Q4,Exports of Goods and Services (excluding Factor Income Flows),31862
Expenditure on GNP at Constant Market Prices,2000Q4,Imports of Goods and Services (excluding Factor Income Flows),-29979
Expenditure on GNP at Constant Market Prices,2000Q4,Gross Domestic Product at Market Prices,39357
Expenditure on GNP at Constant Market Prices,2000Q4,Net Factor Income from the Rest of the World,-4494
Expenditure on GNP at Constant Market Prices,2000Q4,Gross National Product at Market Prices,35395
Expenditure on GNP at Constant Market Prices,2000Q4,Statistical Discrepancy,NA
Expenditure on GNP at Constant Market Prices,2000Q4,Export of Goods (excluding Factor Income Flows),18308
Expenditure on GNP at Constant Market Prices,2000Q4,Import of Goods (excluding Factor Income Flows),-13752
Expenditure on GNP at Constant Market Prices,2000Q4,Export of Services (excluding Factor Income Flows),11121
Expenditure on GNP at Constant Market Prices,2000Q4,Import of Services (excluding Factor Income Flows),-15415
Expenditure on GNP at Constant Market Prices,2000Q4,Final Domestic Demand,34102
Expenditure on GNP at Constant Market Prices,2000Q4,Total Domestic Demand,34249
Expenditure on GNP at Constant Market Prices,2001Q1,Personal Expenditure on Consumer Goods and Services,18004
Expenditure on GNP at Constant Market Prices,2001Q1,Household & NPISH Final Consumption Expenditure,17407
Expenditure on GNP at Constant Market Prices,2001Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,6108
Expenditure on GNP at Constant Market Prices,2001Q1,General Government Expenditure on Goods & Services provided to Households,4331
Expenditure on GNP at Constant Market Prices,2001Q1,General Government Collective Consumption Expenditure,2353
Expenditure on GNP at Constant Market Prices,2001Q1,General Government Final Consumption Expenditure,6685
Expenditure on GNP at Constant Market Prices,2001Q1,Gross Domestic Fixed Capital Formation,9678
Expenditure on GNP at Constant Market Prices,2001Q1,Gross domestic fixed capital formation - Dwellings,1968
Expenditure on GNP at Constant Market Prices,2001Q1,Gross domestic fixed capital formation - Improvements,951
Expenditure on GNP at Constant Market Prices,2001Q1,Gross domestic fixed capital formation - Other Building and Construction,2635
Expenditure on GNP at Constant Market Prices,2001Q1,Gross domestic fixed capital formation - Transfer Costs,490
Expenditure on GNP at Constant Market Prices,2001Q1,Gross domestic fixed capital formation - Machinery and Equipment,2384
Expenditure on GNP at Constant Market Prices,2001Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,392
Expenditure on GNP at Constant Market Prices,2001Q1,Gross domestic fixed capital formation - Intangible Assets,1264
Expenditure on GNP at Constant Market Prices,2001Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Constant Market Prices,2001Q1,Value of Physical Changes in Stocks,438
Expenditure on GNP at Constant Market Prices,2001Q1,Exports of Goods and Services (excluding Factor Income Flows),32836
Expenditure on GNP at Constant Market Prices,2001Q1,Imports of Goods and Services (excluding Factor Income Flows),-31361
Expenditure on GNP at Constant Market Prices,2001Q1,Gross Domestic Product at Market Prices,39023
Expenditure on GNP at Constant Market Prices,2001Q1,Net Factor Income from the Rest of the World,-4297
Expenditure on GNP at Constant Market Prices,2001Q1,Gross National Product at Market Prices,35338
Expenditure on GNP at Constant Market Prices,2001Q1,Statistical Discrepancy,NA
Expenditure on GNP at Constant Market Prices,2001Q1,Export of Goods (excluding Factor Income Flows),18956
Expenditure on GNP at Constant Market Prices,2001Q1,Import of Goods (excluding Factor Income Flows),-15339
Expenditure on GNP at Constant Market Prices,2001Q1,Export of Services (excluding Factor Income Flows),11255
Expenditure on GNP at Constant Market Prices,2001Q1,Import of Services (excluding Factor Income Flows),-14636
Expenditure on GNP at Constant Market Prices,2001Q1,Final Domestic Demand,34081
Expenditure on GNP at Constant Market Prices,2001Q1,Total Domestic Demand,34303
Expenditure on GNP at Constant Market Prices,2001Q2,Personal Expenditure on Consumer Goods and Services,18242
Expenditure on GNP at Constant Market Prices,2001Q2,Household & NPISH Final Consumption Expenditure,17638
Expenditure on GNP at Constant Market Prices,2001Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6392
Expenditure on GNP at Constant Market Prices,2001Q2,General Government Expenditure on Goods & Services provided to Households,4520
Expenditure on GNP at Constant Market Prices,2001Q2,General Government Collective Consumption Expenditure,2456
Expenditure on GNP at Constant Market Prices,2001Q2,General Government Final Consumption Expenditure,6976
Expenditure on GNP at Constant Market Prices,2001Q2,Gross Domestic Fixed Capital Formation,9321
Expenditure on GNP at Constant Market Prices,2001Q2,Gross domestic fixed capital formation - Dwellings,2139
Expenditure on GNP at Constant Market Prices,2001Q2,Gross domestic fixed capital formation - Improvements,968
Expenditure on GNP at Constant Market Prices,2001Q2,Gross domestic fixed capital formation - Other Building and Construction,2606
Expenditure on GNP at Constant Market Prices,2001Q2,Gross domestic fixed capital formation - Transfer Costs,448
Expenditure on GNP at Constant Market Prices,2001Q2,Gross domestic fixed capital formation - Machinery and Equipment,1947
Expenditure on GNP at Constant Market Prices,2001Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,393
Expenditure on GNP at Constant Market Prices,2001Q2,Gross domestic fixed capital formation - Intangible Assets,1392
Expenditure on GNP at Constant Market Prices,2001Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Constant Market Prices,2001Q2,Value of Physical Changes in Stocks,-158
Expenditure on GNP at Constant Market Prices,2001Q2,Exports of Goods and Services (excluding Factor Income Flows),32425
Expenditure on GNP at Constant Market Prices,2001Q2,Imports of Goods and Services (excluding Factor Income Flows),-29210
Expenditure on GNP at Constant Market Prices,2001Q2,Gross Domestic Product at Market Prices,39856
Expenditure on GNP at Constant Market Prices,2001Q2,Net Factor Income from the Rest of the World,-5095
Expenditure on GNP at Constant Market Prices,2001Q2,Gross National Product at Market Prices,35075
Expenditure on GNP at Constant Market Prices,2001Q2,Statistical Discrepancy,NA
Expenditure on GNP at Constant Market Prices,2001Q2,Export of Goods (excluding Factor Income Flows),17986
Expenditure on GNP at Constant Market Prices,2001Q2,Import of Goods (excluding Factor Income Flows),-12985
Expenditure on GNP at Constant Market Prices,2001Q2,Export of Services (excluding Factor Income Flows),12752
Expenditure on GNP at Constant Market Prices,2001Q2,Import of Services (excluding Factor Income Flows),-15691
Expenditure on GNP at Constant Market Prices,2001Q2,Final Domestic Demand,34194
Expenditure on GNP at Constant Market Prices,2001Q2,Total Domestic Demand,33787
Expenditure on GNP at Constant Market Prices,2001Q3,Personal Expenditure on Consumer Goods and Services,18112
Expenditure on GNP at Constant Market Prices,2001Q3,Household & NPISH Final Consumption Expenditure,17512
Expenditure on GNP at Constant Market Prices,2001Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,6696
Expenditure on GNP at Constant Market Prices,2001Q3,General Government Expenditure on Goods & Services provided to Households,4715
Expenditure on GNP at Constant Market Prices,2001Q3,General Government Collective Consumption Expenditure,2561
Expenditure on GNP at Constant Market Prices,2001Q3,General Government Final Consumption Expenditure,7276
Expenditure on GNP at Constant Market Prices,2001Q3,Gross Domestic Fixed Capital Formation,8604
Expenditure on GNP at Constant Market Prices,2001Q3,Gross domestic fixed capital formation - Dwellings,2203
Expenditure on GNP at Constant Market Prices,2001Q3,Gross domestic fixed capital formation - Improvements,923
Expenditure on GNP at Constant Market Prices,2001Q3,Gross domestic fixed capital formation - Other Building and Construction,2835
Expenditure on GNP at Constant Market Prices,2001Q3,Gross domestic fixed capital formation - Transfer Costs,478
Expenditure on GNP at Constant Market Prices,2001Q3,Gross domestic fixed capital formation - Machinery and Equipment,1314
Expenditure on GNP at Constant Market Prices,2001Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,38
Expenditure on GNP at Constant Market Prices,2001Q3,Gross domestic fixed capital formation - Intangible Assets,1290
Expenditure on GNP at Constant Market Prices,2001Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Constant Market Prices,2001Q3,Value of Physical Changes in Stocks,117
Expenditure on GNP at Constant Market Prices,2001Q3,Exports of Goods and Services (excluding Factor Income Flows),32589
Expenditure on GNP at Constant Market Prices,2001Q3,Imports of Goods and Services (excluding Factor Income Flows),-28558
Expenditure on GNP at Constant Market Prices,2001Q3,Gross Domestic Product at Market Prices,39920
Expenditure on GNP at Constant Market Prices,2001Q3,Net Factor Income from the Rest of the World,-5327
Expenditure on GNP at Constant Market Prices,2001Q3,Gross National Product at Market Prices,34808
Expenditure on GNP at Constant Market Prices,2001Q3,Statistical Discrepancy,NA
Expenditure on GNP at Constant Market Prices,2001Q3,Export of Goods (excluding Factor Income Flows),18028
Expenditure on GNP at Constant Market Prices,2001Q3,Import of Goods (excluding Factor Income Flows),-12571
Expenditure on GNP at Constant Market Prices,2001Q3,Export of Services (excluding Factor Income Flows),12928
Expenditure on GNP at Constant Market Prices,2001Q3,Import of Services (excluding Factor Income Flows),-15539
Expenditure on GNP at Constant Market Prices,2001Q3,Final Domestic Demand,33564
Expenditure on GNP at Constant Market Prices,2001Q3,Total Domestic Demand,33452
Expenditure on GNP at Constant Market Prices,2001Q4,Personal Expenditure on Consumer Goods and Services,19977
Expenditure on GNP at Constant Market Prices,2001Q4,Household & NPISH Final Consumption Expenditure,19315
Expenditure on GNP at Constant Market Prices,2001Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7507
Expenditure on GNP at Constant Market Prices,2001Q4,General Government Expenditure on Goods & Services provided to Households,5279
Expenditure on GNP at Constant Market Prices,2001Q4,General Government Collective Consumption Expenditure,2868
Expenditure on GNP at Constant Market Prices,2001Q4,General Government Final Consumption Expenditure,8148
Expenditure on GNP at Constant Market Prices,2001Q4,Gross Domestic Fixed Capital Formation,8882
Expenditure on GNP at Constant Market Prices,2001Q4,Gross domestic fixed capital formation - Dwellings,2236
Expenditure on GNP at Constant Market Prices,2001Q4,Gross domestic fixed capital formation - Improvements,878
Expenditure on GNP at Constant Market Prices,2001Q4,Gross domestic fixed capital formation - Other Building and Construction,3243
Expenditure on GNP at Constant Market Prices,2001Q4,Gross domestic fixed capital formation - Transfer Costs,395
Expenditure on GNP at Constant Market Prices,2001Q4,Gross domestic fixed capital formation - Machinery and Equipment,1184
Expenditure on GNP at Constant Market Prices,2001Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,124
Expenditure on GNP at Constant Market Prices,2001Q4,Gross domestic fixed capital formation - Intangible Assets,1509
Expenditure on GNP at Constant Market Prices,2001Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Constant Market Prices,2001Q4,Value of Physical Changes in Stocks,36
Expenditure on GNP at Constant Market Prices,2001Q4,Exports of Goods and Services (excluding Factor Income Flows),34071
Expenditure on GNP at Constant Market Prices,2001Q4,Imports of Goods and Services (excluding Factor Income Flows),-31371
Expenditure on GNP at Constant Market Prices,2001Q4,Gross Domestic Product at Market Prices,41133
Expenditure on GNP at Constant Market Prices,2001Q4,Net Factor Income from the Rest of the World,-5303
Expenditure on GNP at Constant Market Prices,2001Q4,Gross National Product at Market Prices,36135
Expenditure on GNP at Constant Market Prices,2001Q4,Statistical Discrepancy,NA
Expenditure on GNP at Constant Market Prices,2001Q4,Export of Goods (excluding Factor Income Flows),18876
Expenditure on GNP at Constant Market Prices,2001Q4,Import of Goods (excluding Factor Income Flows),-14164
Expenditure on GNP at Constant Market Prices,2001Q4,Export of Services (excluding Factor Income Flows),13453
Expenditure on GNP at Constant Market Prices,2001Q4,Import of Services (excluding Factor Income Flows),-16507
Expenditure on GNP at Constant Market Prices,2001Q4,Final Domestic Demand,36485
Expenditure on GNP at Constant Market Prices,2001Q4,Total Domestic Demand,36266
Expenditure on GNP at Constant Market Prices,2002Q1,Personal Expenditure on Consumer Goods and Services,18857
Expenditure on GNP at Constant Market Prices,2002Q1,Household & NPISH Final Consumption Expenditure,18171
Expenditure on GNP at Constant Market Prices,2002Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,6734
Expenditure on GNP at Constant Market Prices,2002Q1,General Government Expenditure on Goods & Services provided to Households,4902
Expenditure on GNP at Constant Market Prices,2002Q1,General Government Collective Consumption Expenditure,2509
Expenditure on GNP at Constant Market Prices,2002Q1,General Government Final Consumption Expenditure,7411
Expenditure on GNP at Constant Market Prices,2002Q1,Gross Domestic Fixed Capital Formation,9641
Expenditure on GNP at Constant Market Prices,2002Q1,Gross domestic fixed capital formation - Dwellings,2087
Expenditure on GNP at Constant Market Prices,2002Q1,Gross domestic fixed capital formation - Improvements,926
Expenditure on GNP at Constant Market Prices,2002Q1,Gross domestic fixed capital formation - Other Building and Construction,2777
Expenditure on GNP at Constant Market Prices,2002Q1,Gross domestic fixed capital formation - Transfer Costs,380
Expenditure on GNP at Constant Market Prices,2002Q1,Gross domestic fixed capital formation - Machinery and Equipment,2160
Expenditure on GNP at Constant Market Prices,2002Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,464
Expenditure on GNP at Constant Market Prices,2002Q1,Gross domestic fixed capital formation - Intangible Assets,1457
Expenditure on GNP at Constant Market Prices,2002Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Constant Market Prices,2002Q1,Value of Physical Changes in Stocks,-39
Expenditure on GNP at Constant Market Prices,2002Q1,Exports of Goods and Services (excluding Factor Income Flows),35780
Expenditure on GNP at Constant Market Prices,2002Q1,Imports of Goods and Services (excluding Factor Income Flows),-32931
Expenditure on GNP at Constant Market Prices,2002Q1,Gross Domestic Product at Market Prices,41126
Expenditure on GNP at Constant Market Prices,2002Q1,Net Factor Income from the Rest of the World,-6186
Expenditure on GNP at Constant Market Prices,2002Q1,Gross National Product at Market Prices,34987
Expenditure on GNP at Constant Market Prices,2002Q1,Statistical Discrepancy,NA
Expenditure on GNP at Constant Market Prices,2002Q1,Export of Goods (excluding Factor Income Flows),20822
Expenditure on GNP at Constant Market Prices,2002Q1,Import of Goods (excluding Factor Income Flows),-15595
Expenditure on GNP at Constant Market Prices,2002Q1,Export of Services (excluding Factor Income Flows),12075
Expenditure on GNP at Constant Market Prices,2002Q1,Import of Services (excluding Factor Income Flows),-16228
Expenditure on GNP at Constant Market Prices,2002Q1,Final Domestic Demand,35467
Expenditure on GNP at Constant Market Prices,2002Q1,Total Domestic Demand,35155
Expenditure on GNP at Constant Market Prices,2002Q2,Personal Expenditure on Consumer Goods and Services,18776
Expenditure on GNP at Constant Market Prices,2002Q2,Household & NPISH Final Consumption Expenditure,18093
Expenditure on GNP at Constant Market Prices,2002Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6892
Expenditure on GNP at Constant Market Prices,2002Q2,General Government Expenditure on Goods & Services provided to Households,5005
Expenditure on GNP at Constant Market Prices,2002Q2,General Government Collective Consumption Expenditure,2562
Expenditure on GNP at Constant Market Prices,2002Q2,General Government Final Consumption Expenditure,7567
Expenditure on GNP at Constant Market Prices,2002Q2,Gross Domestic Fixed Capital Formation,9428
Expenditure on GNP at Constant Market Prices,2002Q2,Gross domestic fixed capital formation - Dwellings,2141
Expenditure on GNP at Constant Market Prices,2002Q2,Gross domestic fixed capital formation - Improvements,823
Expenditure on GNP at Constant Market Prices,2002Q2,Gross domestic fixed capital formation - Other Building and Construction,2767
Expenditure on GNP at Constant Market Prices,2002Q2,Gross domestic fixed capital formation - Transfer Costs,446
Expenditure on GNP at Constant Market Prices,2002Q2,Gross domestic fixed capital formation - Machinery and Equipment,1857
Expenditure on GNP at Constant Market Prices,2002Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,228
Expenditure on GNP at Constant Market Prices,2002Q2,Gross domestic fixed capital formation - Intangible Assets,1636
Expenditure on GNP at Constant Market Prices,2002Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Constant Market Prices,2002Q2,Value of Physical Changes in Stocks,504
Expenditure on GNP at Constant Market Prices,2002Q2,Exports of Goods and Services (excluding Factor Income Flows),35263
Expenditure on GNP at Constant Market Prices,2002Q2,Imports of Goods and Services (excluding Factor Income Flows),-32566
Expenditure on GNP at Constant Market Prices,2002Q2,Gross Domestic Product at Market Prices,41914
Expenditure on GNP at Constant Market Prices,2002Q2,Net Factor Income from the Rest of the World,-6140
Expenditure on GNP at Constant Market Prices,2002Q2,Gross National Product at Market Prices,35873
Expenditure on GNP at Constant Market Prices,2002Q2,Statistical Discrepancy,NA
Expenditure on GNP at Constant Market Prices,2002Q2,Export of Goods (excluding Factor Income Flows),19884
Expenditure on GNP at Constant Market Prices,2002Q2,Import of Goods (excluding Factor Income Flows),-14840
Expenditure on GNP at Constant Market Prices,2002Q2,Export of Services (excluding Factor Income Flows),13179
Expenditure on GNP at Constant Market Prices,2002Q2,Import of Services (excluding Factor Income Flows),-16918
Expenditure on GNP at Constant Market Prices,2002Q2,Final Domestic Demand,35293
Expenditure on GNP at Constant Market Prices,2002Q2,Total Domestic Demand,35632
Expenditure on GNP at Constant Market Prices,2002Q3,Personal Expenditure on Consumer Goods and Services,19141
Expenditure on GNP at Constant Market Prices,2002Q3,Household & NPISH Final Consumption Expenditure,18445
Expenditure on GNP at Constant Market Prices,2002Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7097
Expenditure on GNP at Constant Market Prices,2002Q3,General Government Expenditure on Goods & Services provided to Households,5149
Expenditure on GNP at Constant Market Prices,2002Q3,General Government Collective Consumption Expenditure,2636
Expenditure on GNP at Constant Market Prices,2002Q3,General Government Final Consumption Expenditure,7785
Expenditure on GNP at Constant Market Prices,2002Q3,Gross Domestic Fixed Capital Formation,9810
Expenditure on GNP at Constant Market Prices,2002Q3,Gross domestic fixed capital formation - Dwellings,2488
Expenditure on GNP at Constant Market Prices,2002Q3,Gross domestic fixed capital formation - Improvements,779
Expenditure on GNP at Constant Market Prices,2002Q3,Gross domestic fixed capital formation - Other Building and Construction,2914
Expenditure on GNP at Constant Market Prices,2002Q3,Gross domestic fixed capital formation - Transfer Costs,571
Expenditure on GNP at Constant Market Prices,2002Q3,Gross domestic fixed capital formation - Machinery and Equipment,1677
Expenditure on GNP at Constant Market Prices,2002Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,606
Expenditure on GNP at Constant Market Prices,2002Q3,Gross domestic fixed capital formation - Intangible Assets,1701
Expenditure on GNP at Constant Market Prices,2002Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Constant Market Prices,2002Q3,Value of Physical Changes in Stocks,-233
Expenditure on GNP at Constant Market Prices,2002Q3,Exports of Goods and Services (excluding Factor Income Flows),34803
Expenditure on GNP at Constant Market Prices,2002Q3,Imports of Goods and Services (excluding Factor Income Flows),-30688
Expenditure on GNP at Constant Market Prices,2002Q3,Gross Domestic Product at Market Prices,42442
Expenditure on GNP at Constant Market Prices,2002Q3,Net Factor Income from the Rest of the World,-6112
Expenditure on GNP at Constant Market Prices,2002Q3,Gross National Product at Market Prices,36465
Expenditure on GNP at Constant Market Prices,2002Q3,Statistical Discrepancy,NA
Expenditure on GNP at Constant Market Prices,2002Q3,Export of Goods (excluding Factor Income Flows),19507
Expenditure on GNP at Constant Market Prices,2002Q3,Import of Goods (excluding Factor Income Flows),-13392
Expenditure on GNP at Constant Market Prices,2002Q3,Export of Services (excluding Factor Income Flows),13242
Expenditure on GNP at Constant Market Prices,2002Q3,Import of Services (excluding Factor Income Flows),-16825
Expenditure on GNP at Constant Market Prices,2002Q3,Final Domestic Demand,36254
Expenditure on GNP at Constant Market Prices,2002Q3,Total Domestic Demand,35704
Expenditure on GNP at Constant Market Prices,2002Q4,Personal Expenditure on Consumer Goods and Services,20521
Expenditure on GNP at Constant Market Prices,2002Q4,Household & NPISH Final Consumption Expenditure,19775
Expenditure on GNP at Constant Market Prices,2002Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7544
Expenditure on GNP at Constant Market Prices,2002Q4,General Government Expenditure on Goods & Services provided to Households,5478
Expenditure on GNP at Constant Market Prices,2002Q4,General Government Collective Consumption Expenditure,2804
Expenditure on GNP at Constant Market Prices,2002Q4,General Government Final Consumption Expenditure,8282
Expenditure on GNP at Constant Market Prices,2002Q4,Gross Domestic Fixed Capital Formation,9633
Expenditure on GNP at Constant Market Prices,2002Q4,Gross domestic fixed capital formation - Dwellings,2467
Expenditure on GNP at Constant Market Prices,2002Q4,Gross domestic fixed capital formation - Improvements,824
