Statistic,Quarter,Sector,value
Expenditure on GNP at Current Market Prices,1995Q3,General Government Expenditure on Goods & Services provided to Households,1440
Expenditure on GNP at Current Market Prices,1995Q3,General Government Collective Consumption Expenditure,898
Expenditure on GNP at Current Market Prices,1995Q3,General Government Final Consumption Expenditure,2338
Expenditure on GNP at Current Market Prices,1995Q3,Gross Domestic Fixed Capital Formation,2543
Expenditure on GNP at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Dwellings,519
Expenditure on GNP at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Improvements,176
Expenditure on GNP at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Other Building and Construction,557
Expenditure on GNP at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Transfer Costs,96
Expenditure on GNP at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Machinery and Equipment,948
Expenditure on GNP at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,149
Expenditure on GNP at Current Market Prices,1995Q3,Gross domestic fixed capital formation - Intangible Assets,247
Expenditure on GNP at Current Market Prices,1995Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Current Market Prices,1995Q3,Value of Physical Changes in Stocks,-88
Expenditure on GNP at Current Market Prices,1995Q3,Exports of Goods and Services (excluding Factor Income Flows),10181
Expenditure on GNP at Current Market Prices,1995Q3,Imports of Goods and Services (excluding Factor Income Flows),-8509
Expenditure on GNP at Current Market Prices,1995Q3,Gross Domestic Product at Market Prices,13604
Expenditure on GNP at Current Market Prices,1995Q3,Net Factor Income from the Rest of the World,-1399
Expenditure on GNP at Current Market Prices,1995Q3,Gross National Product at Market Prices,12205
Expenditure on GNP at Current Market Prices,1995Q3,Statistical Discrepancy,68
Expenditure on GNP at Current Market Prices,1995Q3,Export of Goods (excluding Factor Income Flows),8903
Expenditure on GNP at Current Market Prices,1995Q3,Import of Goods (excluding Factor Income Flows),-6398
Expenditure on GNP at Current Market Prices,1995Q3,Export of Services (excluding Factor Income Flows),1278
Expenditure on GNP at Current Market Prices,1995Q3,Import of Services (excluding Factor Income Flows),-2111
Expenditure on GNP at Current Market Prices,1995Q3,Final Domestic Demand,11951
Expenditure on GNP at Current Market Prices,1995Q3,Total Domestic Demand,11864
Expenditure on GNP at Current Market Prices,1995Q4,Personal Expenditure on Consumer Goods and Services,8137
Expenditure on GNP at Current Market Prices,1995Q4,Household & NPISH Final Consumption Expenditure,7886
Expenditure on GNP at Current Market Prices,1995Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,2281
Expenditure on GNP at Current Market Prices,1995Q4,General Government Expenditure on Goods & Services provided to Households,1559
Expenditure on GNP at Current Market Prices,1995Q4,General Government Collective Consumption Expenditure,972
Expenditure on GNP at Current Market Prices,1995Q4,General Government Final Consumption Expenditure,2532
Expenditure on GNP at Current Market Prices,1995Q4,Gross Domestic Fixed Capital Formation,2453
Expenditure on GNP at Current Market Prices,1995Q4,Gross domestic fixed capital formation - Dwellings,563
Expenditure on GNP at Current Market Prices,1995Q4,Gross domestic fixed capital formation - Improvements,161
Expenditure on GNP at Current Market Prices,1995Q4,Gross domestic fixed capital formation - Other Building and Construction,556
Expenditure on GNP at Current Market Prices,1995Q4,Gross domestic fixed capital formation - Transfer Costs,93
Expenditure on GNP at Current Market Prices,1995Q4,Gross domestic fixed capital formation - Machinery and Equipment,828
Expenditure on GNP at Current Market Prices,1995Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,81
Expenditure on GNP at Current Market Prices,1995Q4,Gross domestic fixed capital formation - Intangible Assets,252
Expenditure on GNP at Current Market Prices,1995Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Current Market Prices,1995Q4,Value of Physical Changes in Stocks,30
Expenditure on GNP at Current Market Prices,1995Q4,Exports of Goods and Services (excluding Factor Income Flows),10972
Expenditure on GNP at Current Market Prices,1995Q4,Imports of Goods and Services (excluding Factor Income Flows),-9592
Expenditure on GNP at Current Market Prices,1995Q4,Gross Domestic Product at Market Prices,14063
