Statistic,Quarter,Ireland,value
Household total disposable Income (TDI = B.6G+D.8),2017Q2,Ireland,26746.09
Household total disposable Income (TDI = B.6G+D.8),2017Q3,Ireland,27241.19
Household total disposable Income (TDI = B.6G+D.8),2017Q4,Ireland,26002.47
Household total disposable Income (TDI = B.6G+D.8),2018Q1,Ireland,26728.71
Household total disposable Income (TDI = B.6G+D.8),2018Q2,Ireland,28218.46
Household total disposable Income (TDI = B.6G+D.8),2018Q3,Ireland,28421.94
Household total disposable Income (TDI = B.6G+D.8),2018Q4,Ireland,27391.45
Household total disposable Income (TDI = B.6G+D.8),2019Q1,Ireland,28615.51
Household total disposable Income (TDI = B.6G+D.8),2019Q2,Ireland,29821.9
Household total disposable Income (TDI = B.6G+D.8),2019Q3,Ireland,29444.19
Household total disposable Income (TDI = B.6G+D.8),2019Q4,Ireland,28636.32
Household total disposable Income (TDI = B.6G+D.8),2020Q1,Ireland,31525.31
Household total disposable Income (TDI = B.6G+D.8),2020Q2,Ireland,31834.86
Household total disposable Income (TDI = B.6G+D.8),2020Q3,Ireland,30606.93
Household total disposable Income (TDI = B.6G+D.8),2020Q4,Ireland,29841
Household total disposable Income (TDI = B.6G+D.8),2021Q1,Ireland,31858.85
Household total disposable Income (TDI = B.6G+D.8),2021Q2,Ireland,33789.69
Household total disposable Income (TDI = B.6G+D.8),2021Q3,Ireland,34244.91
Household total disposable Income (TDI = B.6G+D.8),2021Q4,Ireland,32445.24
Household total disposable Income (TDI = B.6G+D.8),2022Q1,Ireland,33925.29
Household total disposable Income (TDI = B.6G+D.8),2022Q2,Ireland,36414.19
Household total disposable Income (TDI = B.6G+D.8),2022Q3,Ireland,36192.86
Household total disposable Income (TDI = B.6G+D.8),2022Q4,Ireland,35175.34
Household total disposable Income (TDI = B.6G+D.8),2023Q1,Ireland,36862.92
Household total disposable Income (TDI = B.6G+D.8),2023Q2,Ireland,39222.52
Household total disposable Income (TDI = B.6G+D.8),2023Q3,Ireland,38565.96
Household total disposable Income (TDI = B.6G+D.8)(Seasonally Adjusted),1999Q1,Ireland,11963.88
Household total disposable Income (TDI = B.6G+D.8)(Seasonally Adjusted),1999Q2,Ireland,10570.27
Household total disposable Income (TDI = B.6G+D.8)(Seasonally Adjusted),1999Q3,Ireland,12037.69
Household total disposable Income (TDI = B.6G+D.8)(Seasonally Adjusted),1999Q4,Ireland,12739.3
Household total disposable Income (TDI = B.6G+D.8)(Seasonally Adjusted),2000Q1,Ireland,12677.38
Household total disposable Income (TDI = B.6G+D.8)(Seasonally Adjusted),2000Q2,Ireland,12823.51
Household total disposable Income (TDI = B.6G+D.8)(Seasonally Adjusted),2000Q3,Ireland,13392.11
Household total disposable Income (TDI = B.6G+D.8)(Seasonally Adjusted),2000Q4,Ireland,14039.6
Household total disposable Income (TDI = B.6G+D.8)(Seasonally Adjusted),2001Q1,Ireland,14635.53
Household total disposable Income (TDI = B.6G+D.8)(Seasonally Adjusted),2001Q2,Ireland,14854.97
Household total disposable Income (TDI = B.6G+D.8)(Seasonally Adjusted),2001Q3,Ireland,15407.51
Household total disposable Income (TDI = B.6G+D.8)(Seasonally Adjusted),2001Q4,Ireland,15662.36
Household total disposable Income (TDI = B.6G+D.8)(Seasonally Adjusted),2002Q1,Ireland,15582.5
